train_context,train_labels
دوله اوغوز ياغبو اوغوز ياغبو عني ارض غز دوله تركي اس اوغوز عام استمر وقع جغرافي ساحل بحر قزوين بحر ارال احتل قبيل اوغوز ارض واسع كازاخستان طول انهار ارجيز يايك ايمبا منطقه بحر ارال ادي نهر يحون سفوح جبل قاراتو تيان شان ادي نهر تشو عاش الاوغوز قرب بحر ارال منطقه بحر قزوين طول مجري نهر حون سفلي تقدم رابطه سياسي اوغوز قرن حوض مجري الوسطي دني نهر يحون مجاور سهب غربي كازاخستان ,9
دار حدث قرن ميلادي اثناء تكوين ولايه متحد مهاجر قادم اوروبا ارض عالم جديد مستكشف جون سميث تعاون هندي احمر ساكن اصلي ارض اثناء قيام عمل تقابل اميره بوكاهونتاس وقع حب نظره جون حيره شديد حبه لبوكاهونتاس ولاء مستعمر بريطاني قاءد مدينه جديد وضع مواجه عنيف طرف اختيار نهايه امر حبه اجب وطني ,7
اهميه ثقافه اسلامي مسلم كون هٰذا ثير مسلم تم صله جانح انسان مسلم عقل قلب فكره وصل مسلم ماضي حاضر مستقبل تاريخ امه اسلامي عنصر ثقافه ادب صميم ثقافه خلق امه اسلامي عصر عصور حلقه سلسله خلق قومي ميراث ماضي لذا وجب مسلم وجب امه اخر تمسك ثقافه بعث سب حيوي وصل ماضي اتي ,12
شارك عضو اخر مجموعه مبادره فعال مقوم سبيل مثال فيجو هانستين رولف يكستروم مواطن نرويجي قتل يد لمن محامي محكمه اعلي هرب لندن اثناء احتلال الماني لٰكن النرويج خاض محاوله ناسونال ساميلنج سيطره كونفديه نقابي قتل لان شارك ضرب حليب مرتبط ندره غذاء حشد عامل اوسلو شركه اشترك سبيرفيجكت نايلاند سكابو سكافيام ادي اعلان حكم عرفي ريخكومسيار تيربوفين ,7
استخدم المصطلح عاده مردف جهاز حاسوب شبكه حاسوبي لٰكن شمل تكنولوجيه اخر توزيع معلومه تلفزيون هاتف ارتبط عديد صناعه تكنولوجيا معلومه ذٰلك جهاز حاسوب برمجيه الكترونيه موصل انترنت معدات اتصال تجاره الكتروني ازداد تطبيق تقانه معلومه هٰذا قرن ازديدا كبير طبق اداره حكومي اتصال مختلف جمهور تاديه خدمه قطاع صناعي انتاجي تخطيط قطاع زراعه تعليم اتصال احصاء صحه طب جمرك تجاره تصدير استيراد كذٰلك عرف تواصل جمهور تواصل اجتماعي عد اكبر شركه عالمي ماكروسوفت فيسبوك تويتر جوجل امازون بابا صداره اقتصاد عالم ,4
اقرا ابوها قران كريم سن مبكر قراءه كتابه صرف فقه اصل حضر اقرباء محارم عرم نهل عذب معرفه اسلامي اشار بنان اجاز فريق عالم بدا تدريس فقه اصل حديث حضر جمع عالم ذكر الخاقاني شعراء الغري حدث شيخ محمد السماوي انه سمع جمله عالم نجف حضر قانون اصل اعتبار كون مجازه قراءه صاحب ,0
مراجعه نظير برنامج تضمن غالب قراءه تعليمه رمجيه مصدر هٰذا نوع مراجعه نظير نشاط اكتشاف خل صوره اساسي صوره واضح تم قراءه عينه تعليمه برمجي بواسطه مءلف اصلي ذٰلك ارسال تعليمه برمجي مراجعه تعليمه برمجي تم كتابه استخدام ارشاد ثابت اسهل استيعاب نسبه مراجع اخر ادي تحسين فعاليه عمليه اكتشاف خل ,10
الجاينيه عرف بجاين ماضي دارما ديانه دارمي طابع فلسفي نشا هند قديم تبع تعليم ماهافيرا حوالي قرن ميلاد تبع هٰذا ديانه حالي شكل اقليه هند اضافه تجمع مهاجر متزايد ولايه متحد غرب اوروبا افريقيا شرق اقصي مكان اخر تحافظ الجاينيه تقليد الشرمان قديم ,13
امتلك مطبخ ياباني ماضي عريق طهو تطور هٰذا طهو فن طهو ياباني حديث راقي تناسب موسم موسم سنه هٰذا فن مشاب لفن طهو صيني تعلق عنصر اساسي الشوشوكو ياباني اعتمد عنصر غني كربوهيد ارز قمح شوفان فصوليا دخن شاءع ياباني طبق جانبي اطلق اسم الاوكازو ياباني وظيفه اضافه مذق جيد وجبه رءيسي ذٰلك طبق عاده مالح تكون طعام نموذجي ياباني سلطاني ارز ياباني صحب التسوكهمونو مخل سلطاني حساء مجموعه متنوع طبق الاوزاكو سمك لحم الخضراوات معتاد تسميه طبق تبع كميه ارز حساء صحب ,12
سمح سياسي مستقل ترشح منصب البرازيل نص دستور عام م ماده فقره بند شرط اهلي انتماء حزب ذٰلك تعديل اقتراح دستور سي رقم وضع سيناتور مستقل خوسي ريجوف سمح ترشيح مستقل فرد حظي تايد ناخب قادر تصويت منطقه مدينه ولايه دوله اعتماد انتخاب ترشح مرشح حالي امكن عضو مجلس تشريعي مغادره حزب انتخاب حاله سيناتور ريجوف حزب عامل ديمقراطي دي عام ,8
شركه ا معروف سابق اسم احده اهم شركه مجال تصنيع قاطره سكه حديدي المانيا اخر قرن ماضي مصنع اصلي وقع وسط عاصمه رل كافي تلبيه احتياج متزايد عامل سكه حديدي مصنع ذٰلك بدا شركه بحث موقع مصنع جديد منطقه محيط حول برلين هٰذا سب تم اختيار مساحه بلغ متر مربع عام جوار سكه حديد جورليتز قرب مدينه هوهرلي ,4
طبيعي انجليزيه امكن تعريف طبيعي منهجي بناء تنظيم معرفه رصدي شكل تفسير توقع قابل اختبار حول كون حاول طبيعي شرح كيفيه عمل عالم ظاهره موجود بناء وضع نظريه استخلاص استنتاج ناء معطي مرصود ذٰلك تفسير غيبي اعتبار مرصود سم كثير تفسير ديني غنوصي روحيه عالم ظاهره استخدم كلمه طبيعي كتاج حثي تبع منهج علمي حاول فلسفه طبيعي اجتماعي تطبيق هٰذا منهجي علمي موضوع مختلف ,5
اشار مصطلح اجتماعي تخص اكاديميه اهتم مجتمع علاقه فرد داخل مجتمع اعتمد اساس منهج تجريبي عاده استخدم مصطلح شامل اشاره انسان اقتصاد اجتماع شمل غالب معني اوسع انساني اثر دراسه اقليمي دراسه اتصال دراسه ثقافي تاريخ قانون لغه سياسي امكن استخدام هٰذا المصطلح سياق علمي اشاره اصل اجتماع نشا قرن كلمه انجليزيه لغه لاتيني رفيق يوناني كلمه معرفه دراسه اشار اميل دوركهايم كارل ماركس ماكس فيبر اس اجتماعي حديث فق هٰذا تعريف ,5
ركز اهتمام راي عام سمي حرب شتاء جاء مساعده متطوع استعداد قتال فنلندا عالم تميز دوله ديمقراطي دوله نظام شمولي موجود ايطاليا فاشي ملكه مجر ظهر وجود كبير دوله اسكندافي اجمالي عد متطوع متطوع سويدي نرويجي دنماركي امريكي اصل فنلندي اعتبر فرنسا اهم امه ارسل مساعده مادي فنلندا ارسل طاءره قطعه مدفعيه رشاش قنبله يدوي ندقيه مليون ذخيره ,7
اوضح ركود شهد عقد قرن سياسه نقدي قيدا معين حدث فخ سيوله عندما تخفيض سعر فاءده كافي كدوم طلب رغب بنك اقراض حجم مستهلك زياده انفاق سب توقع سلبي اقتصاد انفاق حكومي مسءول خلق طلب اقتصاد امكن وفر انطلاقه انقاذ اقتصاد ركود عندما حدث ركود عميق كفي اعتماد فقط سياسه نقدي استعاده توازن اقتصادي جانب هٰذا سياسه اختلاف ذٰلك جمع جانب سياسه تعامل مشكله اقتصادي حل استخدم ان ولايه متحد هٰذا سياسه اثر محدود ذٰلك بدا سياسه مالي تاثير اكبر مدي طويل بينما مال سياسه نقدي تحقيق نجاح مدي قصير ,8
جراحه عظام مفصل اهم فرع جراحه عالج مرض اصاب جهاز حركي اختلف اختصاص مرض مفصل تفرع دور طب باطني ذٰلك استخدام وسيله جراحي جراحي علاج رضوض جهاز حركي اصابه رياضي مرض تنكسي التهاب ورم اضطراب خلقي ,11
عديد اداه تقيم نشاط حياه يومي مقياس مقياس نشاط جدول حياه يومي معظم نموذج خدمه رعايه صحي استخدم تقيم نشاط حياه يومي مارسه ذٰلك نموذج طبي نموذج روبر لوغان رنامج شامل رعايه مسن ,14
دليل ثبت ضروره وجود معد اقتضاء حكمه الٰهي وجود معد تقرير الباري تعالي اتصف حكمه الحكيم صدر فعل باطل هدف باري تعالي صدر فعل باطل هدف معني خلق الٰه تعالي هٰذا وجود عالم انسان هدف فعل تعالي باطل عبث قول الٰه تعالي سوره مءمن افحسبتم خلقناكم عبث ترجع مءمن ايه تالي اطل كون فعل الٰه تعالي باطل مقدم اطل كون خلق الٰه تعالي وجود هدف ثبت عكس ,13
بينسك بيلاروسي ينسك ينسك روسيه ينسك اوكرانيه بولندي ينسك اليديشيه عبري ينسك يتوانيا مدينه روسيا ابيض منطقه وليشيا يجتاز نهر بينا كذٰلك نهري ترومن بريبيه معروف منطقه اسم مستنقعات ينسك مركز زراعه خصب وقع جنوب غرب مينسك بلغ عد ساكن حوالي نسمه مدينه مركز انتاج الزوارق صناعي صغير بحر نهر محلي ,9
حاول سياسه استقرار تحفيز اقتصاد خروج ركود تقيد عرض نقد منع تضخم مفرط استخدم سياسه مالي مرتبط كثير الاقتصاديات كينزي انفاق حكومي ضريبه توجيه اقتصاد موقف مالي حجم عجز فاءض سياسه ضريبي ضريبه مستخدمه جمع دخل حكومي انفاق حكومي مجال مجال حكومه تحكم سياسه نقدي قيمه عمله طريق خفض معروض نقد سيطره تضخم رفع تحفيز نمو اقتصادي شعر قلق مقدار مال متداول تالي سعر فاءده تضخم سعر فاءده حد حكومه سياسه دخل ضابط سعر هدف فرض ضابط نقديه تضخم متطلبات احتياطي اثر مضعفه مال ,8
ادعي مدير متحف ديل برادو رسام جوش دي مادروثو مادروث عام اسلوب جويا انعكس وحت صرح سب هٰذا ادعاء طبق عمل جويا استاذ كبير جوده هٰذا لوحه رديء اشتهر هٰذا لوحه سنه عالم مشهور رومانسيه انطباعي عام نقل فالنسيا سلامه اثناء حرب اهلي اسباني تم اصلاح ضر ناتج اثناء نقل شاحنه لٰكن اثناء هٰذا تصليح حده لون لوحه داكن عام وصل عمل مرم حده ون ميوه مدريد مصدر الهام اثار اخر كثير وقع هٰذا اثر مجموعه رسم ادورد لوحه المذبحه كوريا بابلو يكاسو اثر مهم ,14
 جزاءر عاصمه اعلن ياسر عرفات رءيس منظمه تحرير فلسطيني انشاء دوله فلسطين عام توقيع اتفاقيه اوسلو عام شكل سلطه وطني فلسطيني اداره درجه متفاوت منطقه وب ضفه غربي ضم كانتون قطاع غزه حماس حزب راءد برلمان سلطه وطني فلسطيني انتخاب اخير اندلع صراع حركه فتح ادي سيطره حماس غزه عام عام فك ارتباط اسراءيلي ,9
كلام قاعده كيمياء قصد ذٰلك عده خواص معين خواص ماء حدث ماء نقي تفاعل تفك قليل جزي انساب ماء ايونات اوكسونيوم ماء اوجي ماء ايونه الهيدروكسيد ظهر هٰذا تفاعل حدث ماء خواص قاعده تكون ايونه سالب شحنه ماء وقت تكون ايونه موجب خواص حمض لٰكن نصف ماء نقي قاعدي حمضي قال متعادل هٰذا انتمي مقدار اس هيدروجيني اهاء قيمه تركيز ايون ماء بلغ قيمه ال باهاء ماء نقي تركيز منخفض جد جزيء مفك مليون بليون جزيء سليم تفاعل تفك ماء تفاعل متوازن معدل تفك جزيه ماء مكون ايونات سالب موجب ساوي معدل ترابط ذٰلك ايون تكوين جزي ماء متعادل هٰذا معني توازن تفاعل ,6
شعار نباله كنسي تقليد شعار نباله وضع رجل دين مسيحي استخدم بدايه تميز وثيقه وضع علامه ميز تطور عمل كنظام تحديد شخص ابرشيه اعتبر شعار نباله كنسي رسمي كنيسه كاثوليكي امتلك معظم سقاقه ذٰلك بابا معطفه شعار خاص تبع رجل دين كنيسه انجليكي لوثري كاثوليكي شرقي كنيسه ارثوذكسي عاده مشابه هٰذا امر كذٰلك مءسه مدرسه ابرشيه ,13
منظمه مقاومه اخر عرف اسم مجموعه اوزوالد كنيه مءس اسبيورن سوند تاس مجموعه سمي ولبيبر ارتبط دور مءس ارنست بيبر سيطر شرطه سري سوفياتي اعتقال ولبيبر عام خسر فريق اتصال تمويل موسكو لٰكن تمكن سوند حفاظ تشغيل خليه بدء عمليه بدا مجموعه ربروسا حمله تخريب اصاب مختلف قطار منشاه عسكري تفعيل معسكر تدريبي خاص روكاديلين منطقه معزول جبل قرب نيسبيان ,7
مقاربه اقتصاد جغرافي خريطه صيني حكومه كين تاريخ قرن ميلاد عمل جغرافي يوناني ترابو جيوغرافيكا عام تطور رسم خريطه وضح جغرافي عده جانب استخدم حالي هٰذا مجال وضع عده قوه اوروبي مختلف خريطه وصف مورد احتمالي ارض اسيوي افريقي اميركي احتوي مذكره سفر توصيف ساكن اصلي مناخ مناظر طبيعي انتاجي عده موقع شجع هٰذا توصيف تطور نمط تجاره قاره فتح باب حقبه نزعه تجاري ,9
عد تفاعل كيمياءي طبيعه كهربي كيمياء كهربي حقيقه دراسه ظاهره كسيد اختزال تناول دراسه تحول متبادل طاقه كيمياءي كهربي ضمن اطار تفاعل كسيد اختزال شكل قسم هام جد تفاعل كيمياءي ,6
طيران ناس شركه طيران اقتصادي عودي خاص مساهمه مغلق شركه طيران اقتصادي ملكه عربي سعودي وقع مقر رءيسي عاصمه رياض شغل رحله طيران اسبوعي وجه محلي دولي شرق اوسط اسيا اوروبا افريقيا مطار ملك خالد دولي رياض مطار ملك عبد العزيز دولي جده مطار ملك هد دولي دمام مطار امير محمد بن عبد العزيز دولي مدينه منور مركز عمليه اسطول تكون طاءره عام ,2
اعتبر لجنه مسجد شاهي حمايه رعايه مسجد سلطان تيبو عمل توجيه رءيس حالي سامي المباركي فاعل رءيسي نشط رعايه شان يومي مسجد اطلق عضو لجنه حمله مساعده ضحيه تسونامي عام كجيز صندوق رءيس وزير ضحيه تسونامي نظم لجنه اضراب طعام استمر مده يوم احتجاج تدخل حكومه مركزي عندما تم تدمير دارغ مسلم معبد هندوسي فادودارا تم انهاء اضراب حق مبادره محافظ شري جوبال كريشنا غاندي قدم كوب عصير صاءم ادان وقت لاحق هجمه معبد هندوسي باكستان كذٰلك اعتداء مبشر مسيحي اوريسا جزء اخر هند ,7
صدر البوم ميرا عندما عرف وسط فني اسم هموري البوم صدر عندما بدا عرف اسم ميرا سب تغير هٰذا اسم وقت قصير حق نجاح كبير وقت قصير هٰذا اختراق تغير حق فن رشح حصول جاءزه امراه اختراق ذٰلك خلال جاءزه موسيقي الفيديو تلفزيون كرال لٰكن نهايه حصل اوزليم تكين هٰذا جاءزه ضمن مرشح هٰذا جاءزه جولشن نار اونسال سيبال يلجتش خلال البوم تقديم فيديو كليب اغن نور توبو وجهك ضحك مستحيل حال حال ,14
خلال تاريخ طويل تعرض قدس تدمير مره حاصر مره هوجم مره تم غزو فقدان مجد مره استوطن بشر موقع شيد مدينه الفي ميلاد امر قدس اقدم مدينه ماهول عالم د صنف مدينه قديم موقع تراث عالمي جري عاده عرف تقسيم حاره اسم مستخدمه يوم حاره هٰذا حاره حاره ارمن حاره نصاري حاره شرف حاره يهودي حاره مسلم ظهر قرن رشح اردن مدينه قديم درج ضمن قاءمه موقع تراث عالمي مهد سنه ,7
مواجه نيتيرو غون وكيلوا تحدي نيتيرو استخدم ذراع قديم لعبه خطف كره جهد كبير جون وكيلوا تمكن نيتيرو استخدم يد نزال اخر ملك نمل ميرويم استخدم نيتيرو قدره نال احترام ملك لان اقوي واج ادي تغير فكر ملك بشر استخدام نيتيرو اقوي هجوم يد صفر ادي اصابه ملك لٰكن نيتيرو استهلك طاقت لجا نيتيرو حيل زرع قنبل مكان معركه فعل اتن توقف قلب نيتيرو عمل استخدم نيتيرو هٰذا حيله ملك فرقه عقل بشري متجد متطور بشر ملك قوه جسدي فقط ملك عقل تدمير ,14
امكن سيره اخر سيره رءيس دوله تجمع انجاز كثير كثف احتاج صياغه خاص شامل لٰكن مفهوم باحث متبع قارء عادي سواء عنوان مستقل عرض رشيق انجاز محطه صوره مختزل سيره ذاوتي لاتيني روي شخص سيره حياه ,12
حضاره ازدهر جزيره حضاره قوم سكن جزيره عربي قال باحث مسكن حقف واقع جنوب ربع خالي حضاره ظهر جزيره حضاره قوم ثمود عد ضمن حضاره باءد تالف قبيل عشيره متعد بلغ حد عظيم مدني ازدهار جزيره عربي اتفق مءرخ مسلم اهم دار بادي قريه حجاز شام اثر مدينه مدينه منور تبوك وكانوا قوم تميز كون نحت يوت جبل ,7
ابقي وجود سر عام عندما عد عضو قاد عديد نساء ذٰلك صوفي اوستفدت طالب كيمياء جامعه اوسلو عام عام اكتشف لمن تنظيم سلسله اعتقال لٰكن تمكن تفكيك استمر عمل نهايه نزاع ,7
قدر مكتب المراجع سكاني ساكن عاش منطقه حضري عام عد ساكن عاصمه دوحه بلغ عد ساكن ذٰلك سنه نم مدينه رءيسي صناعه نفط دخان ساحل غربي ميناء سعيد جنوب دوحه فق امه متحد معدل نمو سكاني منطقه حضري فتره نسبه ,9
قرن عديد عالم انثوبوبوجيا عرق ظاهره بيولوجي تمام هٰذا جوهري سلوك شخص هويه موقف اطلق عرقي اساسي هٰذا جانب اعتقاد مجموعه لغوي ثقافي اجتماعي موجود اساس اساس عرقي شكل اساس سمي ان عنصريه علمي برنامج تحسين نسل نازي جنب جنب صعود حركه مناهض استعمار اصولي عرقي شعبيه واسع انتشار ادي دراسه جديد ثقافه مجال وليد وراثه سكاني تقويض مكانه علمي عنصريه عرقي دفع عالم انثوبوبوجيا عرقي مراجعه استنتاج حول مصدر اختلاف مظهري عد كبير عالم انثوبوبوجيا حديث عالم حي غرب جاء نظر عرق تسميه راثي بيولوجي صالح ,9
تضمن هٰذا الترجمات لغه البرمجه عالي مستوي قابل قراءه بشري سي بلاص بلاص وجافا لغه مستوي متوسط جاف بايت كود لغه مستوي منخفض لغه تجميع لغه اله مستوي ماثل لغه منصه مختلف كذٰلك سبق لغه اخر ,10
يوم خرج جاك مقر توزيع صحيفه عالم نيويورك بوابه رءيسي مرتد بزه متهندم حامل يده عده نسخه جريده صحيفه عالم نيويورك عندما راه زميل باءع صحيفه متجول مضرب متجمع حول مقر صحيفه دهش جاك زعيم موظف صحيفه عالم نيويورك صاحب يوسف بوليستر شتم جاك قال بعي نت داود جاك كاذب كه نهر جاك هادء نظر داود باق النوزيز برود ابي كلام افترق جاك كيلي كاوبوي نام مطبعه مقر توزيع صحيفه عالم نيويورك ,14
والبنزوديازيبين عاميه نزو غالب اختصر عقار نفساني تاثير احتوي نوه كيمياءي اساسي انصهار حلقه بنزين حلقه ديازيبين هٰذا عقار كلورديازيبوكس يبريوم اكتشف صدفه ليو تيرنباخ عام متاح عام هوفمان روش حق تسويق بنزودياز الديازيبام الفاليوم عام ,11
كمال باشا شعر اشميزاز استسلام تنازل قدم سلطان حليف احتلال بريطاني قسطنطينيه معروف اسم اسطنبول لغه انجليزيه عام استقال منصب هرب مصطفي كمال باشا اسطنبول طريق بحر مرور دوريه بحريه ملكي بريطاني نزل مدينه سامسون ساحليه بحر اسود تنظيم مقاومه ضد احتلال قوه حليف انضول استقاله اصدر باب عالي حكومه عثماني مذكره ضد مصطفي كمال باشا حكم لاحق اعدام غيابي ,14
مجمل نشاط يومي فرد ذٰلك نشاط اعتيادي خاص رعايه ذاوتي تغذيه استحمام تغير ملبس نظافه شخصي عمل تدبير منزلي راحه ذٰلك نشاط حياه يومي اساسي استحمام لبس ملبس اكل تغذيه اعداد طعام عمليه تنقل قصد انتقال مكان اخر اثناء تنفيذ نشط نظافه شخصي نشاط جنسي ,14
جادل عد عالم حاسوب تميز نموذج منفصل حاسوب جادل بيتر اجنر هٰذا نموذج تكنولوجيا رياضي جادل فريق عمل يتر دينينغ النظريه تجريد النمذجه تصميم وصف امنون هـ ايدن نموذج عقلاني تعامل الحاسوب كفرع فرع الرياضيات ساءد الحاسوب نظري استخدم شكل اساسي استنباط نموذج التكنوقراطي منهج هندسي ابرز هندسه البرمجيات نموذج علمي قارب مصنوع متعلق حاسوب منظور تجريبي طبيعي امكن تحديد فرع ذكاء اصطناعي ركز حاسوب اسلوب متبع تصميم نظام حوسبه صنع انسان تحديد مواصفه رمجه تحق تنفيذ اختبار ,10
منطق بحث قاعده تبع تفكير طريقه استدلال صحيح اسلوب استنتاج معقوليه ذٰلك اداه تفكير لان عني تحليل طريقه تفكير صيانه خطا عمليه منطقي اهتم بفءه صيغه قضيه مزيد منطق رياضي نظريه مجموعه فرع منطق رياضي اهتم دراسه مجموعه تجميع كاءنه رياضي مجرد عمليه مطبق شكل اهم ركيزه رياضي حديث ,3
رغم وجود كلمه اسم جدل حول حاسوب فرع رياضي هندسه جادل الن نيويل هيربرت سيمون عام قال ذٰلك امكن تصنيف حاسوب تجريبي لان استخدم اختبار تجريبي تقيم صحه برنامج لٰكن بقي مشكله تحديد قانون نظريه حاسوب تحديد طبيعه تجربه حاسوب جادل مءيد تصنيف حاسوب خص هندسي موثوقيه نظام حاسوبي تم تحقيق طريقه تم تحقيق جسر هندسه مدني طاءره هندسه طيران قال تجريبي لاحظ موجود حالي حاسوب لاحظ امكن بينما اكتشف عالم قانون ملاحظه تم عثور قانون مناسب حاسوب اهتم بدل ذٰلك خلق ظاهره ,10
اشار منظمه اليونيسف طفوله قاءمه نهاءي مهاره نفسي اجتماعي حياتي ذٰلك رد دليل منظمه امه متحد طفوله كثير مهاره نفسي اجتماعي مهاره قدره مهارات حياه اخر تقن اعتبر مهم شكل عام استخدم عديد مهاره مارسه وقت مهاره تخطيط اتخاذ قرار تواصل اخر حل خلاف شخصي اخر ماهي خياره ان تبادل مهاره صدر نتيجه سلوكي قوي خاص عندما تم دعم استراتيجيه اخر هٰذا نهج امكن اختلف مهاره حياتي محو اميه مالي خلال وقايه تعاطي مخدر تقنيه علاجي تعامل اعاقه مرض توحد صم منهج مهاره حياتي غالب اكد مهارات تواصل مهاره علمي لازم عيش نجاح مستقل تطوير ذوي احتياج خاص طالب تعليم خاص برنامج تعليم منفرد ,12
دوله اسراءيل منع ترشح مستقل انتخاب الكنيست وجب اشهار حزب ترشح اساس مصر اعتمد نظام مزدوج انتخب جزء برلمان اساس قاءمه تنافس حزب جزء اخر اساس فردي تنافس حزب مستقل سوريا خلال عهد جمهوريه مستقل دوام شكل اكبر كتله رلماني عهد جمهوريه خص ثلث مقعد برلمان مستقل عموم مقرب حزب جبه وطني تقدمي شكل معارضه ,8
